id,title,link,image_url,author_img,scraped_at,full_description,technologies,scraped_date,popularity_score,remix_count,remixes.text,image_analysis.dimensions.width,image_analysis.dimensions.height,image_aspect_ratio,image_analysis.visual_attributes.dominant_colors,image_brightness,image_has_text,word_count,sentiment_polarity,sentiment_subjectivity,text_features.keywords,category,title_length,word_count_title
c97c0a8e-4d68-4bc4-9fe0-c26ee71c3856,fancy-saas-splash,https://lovable.dev/projects/c97c0a8e-4d68-4bc4-9fe0-c26ee71c3856,https://storage.googleapis.com/gpt-engineer-screenshots/id-preview-87a5dd0d--c97c0a8e-4d68-4bc4-9fe0-c26ee71c3856.gptengineer.run-1722459731776.png,https://lh3.googleusercontent.com/a/ACg8ocKpsvmGNG_xDhdfPBXd9FoTu6GlwFf5qo0nWNTzjNgxexLb0w=s96-c,2025-05-21T18:49:16.306404,,[],2025-05-21,175,35,35 Remixes,1920,1979,0.9701869631126832,"['#f4f0f7', '#242c3c', '#a35cea']",183.41823285118747,False,3,0.0,0.0,"['fancy', 'saas', 'splash']",landing_page,17,3
65e44bd6-84d0-4f67-a532-c7f2a71f7d46,valk-life,https://lovable.dev/projects/65e44bd6-84d0-4f67-a532-c7f2a71f7d46,https://storage.googleapis.com/gpt-engineer-screenshots/id-preview-95f68f71--65e44bd6-84d0-4f67-a532-c7f2a71f7d46.gptengineer.run-1724326675931.png,https://avatars.githubusercontent.com/u/4411977?v=4,2025-05-21T18:49:16.337169,,[],2025-05-21,200,40,40 Remixes,1920,2935,0.6541737649063032,"['#2f3137', '#f4f5f7', '#8f928c']",196.0228184891397,True,2,0.0,0.0,"['valk', 'life']",other,9,2
6fb25ca9-773a-4499-aa1a-2c5df274248d,monster-landing-magic,https://lovable.dev/projects/6fb25ca9-773a-4499-aa1a-2c5df274248d,https://storage.googleapis.com/gpt-engineer-screenshots/id-preview-7c51c4d7--6fb25ca9-773a-4499-aa1a-2c5df274248d.gptengineer.run-1722268450917.png,https://lh3.googleusercontent.com/a/ACg8ocKpsvmGNG_xDhdfPBXd9FoTu6GlwFf5qo0nWNTzjNgxexLb0w=s96-c,2025-05-21T18:49:16.388370,,[],2025-05-21,235,47,47 Remixes,1920,2655,0.7231638418079096,"['#4c2b87', '#785ba3', '#212a39']",126.0387537272442,False,3,0.5,1.0,"['monster', 'landing', 'magic']",landing_page,21,3
156c4586-27b3-4c80-992f-6996d77bfbc1,future-real-estate-site,https://lovable.dev/projects/156c4586-27b3-4c80-992f-6996d77bfbc1,https://storage.googleapis.com/gpt-engineer-screenshots/id-preview-0372773b--156c4586-27b3-4c80-992f-6996d77bfbc1.gptengineer.run-1720384141356.png,https://lh3.googleusercontent.com/a/ACg8ocKBv6ChVTQgL5brL_jvJ1Fbxo7Ig0C7daSZ7FeIx9zysAQg0lk=s96-c,2025-05-21T18:49:16.422113,,[],2025-05-21,240,48,48 Remixes,1920,2126,0.90310442144873,"['#707576', '#1e1e1e', '#bdc1c1']",111.40048316723502,True,4,0.1,0.21250000000000002,"['future', 'real', 'estate', 'site']",other,23,4
f60ff3fb-aac0-4b5b-a359-c84636b03332,turn-based-chess-duel,https://lovable.dev/projects/f60ff3fb-aac0-4b5b-a359-c84636b03332,https://storage.googleapis.com/gpt-engineer-screenshots/id-preview-ac75a291--f60ff3fb-aac0-4b5b-a359-c84636b03332.gptengineer.run-1722862328318.png,https://lh3.googleusercontent.com/a/ACg8ocJgj-yluTl4FfbF6GJqLQo4HKIZr5ZsaHgHX1KsgaEdWqyYaVZXAQ=s96-c,2025-05-21T18:49:16.456430,,[],2025-05-21,260,52,52 Remixes,1920,1080,1.7777777777777777,"['#282c3b', '#14181f', '#24507f']",85.66586214795525,False,4,0.0,0.0,"['turn', 'based', 'chess', 'duel']",game,21,4
f6f0a2d7-0b30-4d2c-9290-e18ae9e1fd05,musicwave-harmony,https://lovable.dev/projects/f6f0a2d7-0b30-4d2c-9290-e18ae9e1fd05,https://storage.googleapis.com/gpt-engineer-screenshots/id-preview-c71421b9--f6f0a2d7-0b30-4d2c-9290-e18ae9e1fd05.gptengineer.run-1724965040050.png,https://lh3.googleusercontent.com/a/ACg8ocLeMkZMIN3gFvlIFdzTAlYte5k5yMf-pX3F_Va7TrmsfYSThA=s96-c,2025-05-21T18:49:16.487891,,[],2025-05-21,265,53,53 Remixes,1920,1080,1.7777777777777777,"['#0a0c12', '#498dc0', '#e9706c']",112.04976779513889,False,2,0.0,0.0,"['musicwave', 'harmony']",other,17,2
0fa655bd-55f5-4761-af2c-39b0bfabbaae,ai-tool-hub,https://lovable.dev/projects/0fa655bd-55f5-4761-af2c-39b0bfabbaae,https://storage.googleapis.com/gpt-engineer-screenshots/id-preview-2190ae34--0fa655bd-55f5-4761-af2c-39b0bfabbaae.gptengineer.run-1722657746434.png,https://lh3.googleusercontent.com/a/ACg8ocK1gSuUuoMGKGYO7qDKGw0o2_PgO0cVulzjPeXC3z6UnqusyyI=s96-c,2025-05-21T18:49:16.521670,,,2025-05-21,355,71,71 Remixes,1920,1864,1.0300429184549356,"['#16212d', '#a8bbb6', '#2d4857']",96.17016182436963,True,3,0.0,0.0,"['tool', 'hub']",ai_tool,11,3
4e4f8fa9-169c-4762-b885-56ac83b4ade3,chatgpt-clone,https://lovable.dev/projects/4e4f8fa9-169c-4762-b885-56ac83b4ade3,https://storage.googleapis.com/gpt-engineer-screenshots/id-preview-8df5f17f--4e4f8fa9-169c-4762-b885-56ac83b4ade3.gptengineer.run-1724767365614.png,https://avatars.githubusercontent.com/u/5621667?v=4,2025-05-21T18:49:16.551284,,,2025-05-21,340,68,68 Remixes,1920,1080,1.7777777777777777,"['#7192f9', '#9568f6', '#e6e6fc']",191.18987449363425,False,2,0.0,0.0,"['chatgpt', 'clone']",ai_tool,13,2
b8ce5f67-1b0f-4932-a684-e51855e29de9,hungry-dashboard,https://lovable.dev/projects/b8ce5f67-1b0f-4932-a684-e51855e29de9,https://storage.googleapis.com/gpt-engineer-screenshots/id-preview-a76619ba--b8ce5f67-1b0f-4932-a684-e51855e29de9.lovable.app-1745845181038.png,https://lh3.googleusercontent.com/a/ACg8ocLnWqv9MY5g5i-GH0B5GNVgBDKVOjAEjHOy1kp2u-dsti5F3vRR=s96-c,2025-05-21T18:49:16.591603,,,2025-05-21,455,91,91 Remixes,1920,1080,1.7777777777777777,"['#e1d7cc', '#6b5f59', '#a98e77']",155.72409167631173,False,2,0.0,0.0,"['hungry', 'dashboard']",dashboard,16,2
721b7097-37cd-4dc4-8946-0910b3ea8bc7,agri-dom,https://lovable.dev/projects/721b7097-37cd-4dc4-8946-0910b3ea8bc7,https://pub-bb2e103a32db4e198524a2e9ed8f35b4.r2.dev/85c2e402-9dc2-4acf-b5b2-3d53f3c5964f/id-preview-0a1eec3c--721b7097-37cd-4dc4-8946-0910b3ea8bc7.lovable.app-1744802981071.png,,2025-05-21T18:49:16.642909,,,2025-05-21,9980,1996,1996 Remixes,1920,1080,1.7777777777777777,"['#fafbfc', '#80a983', '#d3d9d8']",249.8685996576003,False,2,0.0,0.0,"['agri', 'dom']",other,8,2
4895dbd0-4609-4ca0-9728-8cee578eee22,psk-services,https://lovable.dev/projects/4895dbd0-4609-4ca0-9728-8cee578eee22,https://pub-bb2e103a32db4e198524a2e9ed8f35b4.r2.dev/b5307845-18cf-4137-b221-9506717bbb38/id-preview-f35bf833--4895dbd0-4609-4ca0-9728-8cee578eee22.lovable.app-1747763496196.png,https://lh3.googleusercontent.com/a/ACg8ocJi-v23EytHgsQUNgL8mouqRrYRCAbTJik8ne10t1PXCkVJtwO2=s96-c,2025-05-21T18:49:16.676676,,,2025-05-21,4940,988,988 Remixes,1920,1080,1.7777777777777777,"['#4c735d', '#121212', '#bcc8c3']",83.50139793113426,False,2,0.0,0.0,"['psk', 'services']",other,12,2
0a723aaf-fa4e-4c29-8841-7b9dfaf2611b,tableone-fundraise-hub,https://lovable.dev/projects/0a723aaf-fa4e-4c29-8841-7b9dfaf2611b,https://pub-bb2e103a32db4e198524a2e9ed8f35b4.r2.dev/b1d5fc5d-fb21-461d-85f8-e83c34d3f258/id-preview-3e2266e6--0a723aaf-fa4e-4c29-8841-7b9dfaf2611b.lovable.app-1747430493231.png,https://lh3.googleusercontent.com/a/ACg8ocKIWQbKR6REzWNKPbEjQ_GZ4qUATSqQ4_4lHgM5vJb2NpNLAA=s96-c,2025-05-21T18:49:16.712573,,,2025-05-21,10,2,2 Remixes,1920,1080,1.7777777777777777,"['#2e2d2e', '#030206', '#68608e']",69.60381570698303,False,3,0.0,0.0,"['tableone', 'fundraise', 'hub']",ai_tool,22,3
aa3f66a7-cf0f-41ac-99b0-6838871e6ffa,trailguidecoihues,https://lovable.dev/projects/aa3f66a7-cf0f-41ac-99b0-6838871e6ffa,https://pub-bb2e103a32db4e198524a2e9ed8f35b4.r2.dev/623ec066-c0bb-4c72-8b96-c9b8dc57c621/id-preview-66d87578--aa3f66a7-cf0f-41ac-99b0-6838871e6ffa.lovable.app-1747355774555.png,,2025-05-21T18:49:16.748129,,,2025-05-21,3210,642,642 Remixes,1920,1080,1.7777777777777777,"['#e5f3fc', '#485f6b', '#9cb1bd']",232.12372902199073,False,1,0.0,0.0,['trailguidecoihues'],ai_tool,17,1
